config	inst	time	count	best	spr	hv	gd	
nsga05k2x	I0	72217	58	0.0273	0.6679	0.4798	0.0095	
nsga05k2x	I0	70633	49	0.0273	0.7128	0.5157	0.0081	
nsga05k2x	I0	72793	47	0.0364	0.7069	0.5180	0.0091	
nsga05k2x	I0	72616	46	0.0364	0.6650	0.5117	0.0073	
nsga05k2x	I0	72059	43	0.0545	0.6775	0.5115	0.0067	
nsga05k2x	I0	72412	63	0.0000	0.6920	0.4686	0.0104	
nsga05k2x	I0	73032	56	0.0182	0.6552	0.5096	0.0076	
nsga05k2x	I0	72105	65	0.0000	0.6426	0.4769	0.0112	
nsga05k2x	I0	72346	57	0.0000	0.7377	0.4775	0.0099	
nsga05k2x	I0	73140	43	0.0000	0.6752	0.4716	0.0131	
nsga05k2x	I0	72626	58	0.0273	0.6792	0.5066	0.0080	
nsga05k2x	I0	72076	59	0.0000	0.6644	0.4767	0.0093	
nsga05k2x	I0	72125	49	0.0909	0.6460	0.5334	0.0064	
nsga05k2x	I0	71656	57	0.0182	0.7050	0.4828	0.0140	
nsga05k2x	I0	67392	45	0.0727	0.6048	0.5140	0.0074	
nsga05k2x	I0	60069	51	0.0545	0.7178	0.5107	0.0070	
nsga05k2x	I0	60114	53	0.0091	0.6421	0.4883	0.0086	
nsga05k2x	I0	60370	73	0.0091	0.5767	0.4786	0.0079	
nsga05k2x	I0	59805	62	0.0273	0.7129	0.5069	0.0079	
nsga05k2x	I0	60698	48	0.0000	0.6372	0.4968	0.0072	
nsga05k2x	I0	60028	50	0.0000	0.8567	0.4859	0.0179	
nsga05k2x	I0	60793	48	0.0273	0.6289	0.5065	0.0089	
nsga05k2x	I0	59933	61	0.0091	0.6024	0.4897	0.0083	
nsga05k2x	I0	60261	50	0.0273	0.5505	0.5038	0.0072	
nsga05k2x	I0	60054	46	0.0182	0.6346	0.5039	0.0079	
nsga05k2x	I0	60788	49	0.0182	0.7109	0.4950	0.0104	
nsga05k2x	I0	60318	51	0.0273	0.6255	0.4945	0.0074	
nsga05k2x	I0	59942	55	0.0000	0.6022	0.4765	0.0095	
nsga05k2x	I0	60607	54	0.0364	0.6142	0.4947	0.0093	
nsga05k2x	I0	59051	59	0.0182	0.6292	0.4895	0.0074	
nsga05k2x	I0	57529	55	0.0000	0.6002	0.4719	0.0110	
nsga05k2x	I0	57824	63	0.0000	0.6095	0.4948	0.0075	
nsga05k2x	I0	58172	52	0.0000	0.5982	0.4767	0.0119	
nsga05k2x	I0	57855	54	0.0455	0.6410	0.5078	0.0087	
nsga05k2x	I0	57873	49	0.0455	0.6279	0.4945	0.0112	
nsga05k2x	I0	58241	71	0.0273	0.5594	0.4905	0.0089	
nsga05k2x	I0	57767	50	0.0455	0.7494	0.4951	0.0174	
nsga05k2x	I0	57889	53	0.0000	0.6239	0.4880	0.0090	
nsga05k2x	I0	57325	60	0.0182	0.6873	0.4877	0.0089	
nsga05k2x	I0	58173	54	0.0091	0.7674	0.4869	0.0113	
nsga05k2x	I0	57638	47	0.0091	0.6244	0.5046	0.0076	
nsga05k2x	I0	57552	55	0.0182	0.6376	0.4856	0.0121	
nsga05k2x	I0	58083	52	0.0182	0.6428	0.5053	0.0086	
nsga05k2x	I0	57747	58	0.0000	0.5697	0.4948	0.0089	
nsga05k2x	I0	57680	65	0.0364	0.6312	0.4994	0.0082	
nsga05k2x	I0	58097	63	0.0000	0.5950	0.4943	0.0092	
nsga05k2x	I0	58268	52	0.0182	0.6517	0.5016	0.0082	
nsga05k2x	I0	57899	53	0.0091	0.5954	0.4818	0.0106	
nsga05k2x	I0	57870	62	0.0000	0.6347	0.4745	0.0092	
nsga05k2x	I0	58271	56	0.0091	0.6643	0.4968	0.0081	
nsga05k2x	I1	337714	64	0.0308	0.5687	0.5235	0.0057	
nsga05k2x	I1	337071	67	0.0154	0.6052	0.5038	0.0074	
nsga05k2x	I1	338750	56	0.0154	0.6177	0.5225	0.0063	
nsga05k2x	I1	337978	53	0.0154	0.7011	0.5193	0.0059	
nsga05k2x	I1	337273	70	0.0308	0.6709	0.5160	0.0063	
nsga05k2x	I1	338325	65	0.0077	0.6593	0.5081	0.0062	
nsga05k2x	I1	337762	62	0.0231	0.6338	0.5066	0.0066	
nsga05k2x	I1	338127	75	0.0308	0.6608	0.5106	0.0060	
nsga05k2x	I1	337832	60	0.0308	0.7519	0.5113	0.0074	
nsga05k2x	I1	338292	84	0.0231	0.6398	0.5065	0.0059	
nsga05k2x	I1	337103	61	0.0385	0.6640	0.5118	0.0064	
nsga05k2x	I1	360391	68	0.0154	0.7234	0.5009	0.0067	
nsga05k2x	I1	376782	55	0.0385	0.6619	0.5277	0.0066	
nsga05k2x	I1	347327	58	0.0385	0.6528	0.5022	0.0077	
nsga05k2x	I1	348221	64	0.0154	0.6796	0.5100	0.0075	
nsga05k2x	I1	333633	72	0.0385	0.6321	0.5244	0.0054	
nsga05k2x	I1	332008	71	0.0385	0.6759	0.5087	0.0054	
nsga05k2x	I1	335305	71	0.0154	0.7026	0.5116	0.0056	
nsga05k2x	I1	333323	61	0.0077	0.6482	0.5083	0.0068	
nsga05k2x	I1	332397	68	0.0077	0.6590	0.5073	0.0066	
nsga05k2x	I1	332720	77	0.0000	0.5482	0.5026	0.0062	
nsga05k2x	I1	308240	59	0.0231	0.7430	0.5242	0.0063	
nsga05k2x	I1	244571	67	0.0077	0.5856	0.5137	0.0051	
nsga05k2x	I1	243509	73	0.0231	0.7176	0.5137	0.0057	
nsga05k2x	I1	241165	68	0.0154	0.7607	0.5114	0.0080	
nsga05k2x	I1	241184	75	0.0000	0.6413	0.4840	0.0070	
nsga05k2x	I1	242112	66	0.0231	0.5497	0.5049	0.0074	
nsga05k2x	I1	241099	76	0.0077	0.7076	0.5108	0.0058	
nsga05k2x	I1	240210	61	0.0000	0.7050	0.4949	0.0085	
nsga05k2x	I1	240121	64	0.0154	0.6902	0.4947	0.0073	
nsga05k2x	I1	240332	71	0.0077	0.6461	0.5145	0.0062	
nsga05k2x	I1	240200	72	0.0077	0.6534	0.5047	0.0067	
nsga05k2x	I1	240741	67	0.0077	0.5742	0.5102	0.0061	
nsga05k2x	I1	239805	62	0.0385	0.6668	0.5235	0.0051	
nsga05k2x	I1	240975	72	0.0385	0.6508	0.5167	0.0057	
nsga05k2x	I1	242110	66	0.0231	0.6578	0.5142	0.0060	
nsga05k2x	I1	241303	62	0.0154	0.6946	0.5036	0.0080	
nsga05k2x	I1	241724	60	0.0154	0.6011	0.5167	0.0062	
nsga05k2x	I1	240483	67	0.0154	0.6147	0.5102	0.0062	
nsga05k2x	I1	241569	58	0.0077	0.7181	0.5127	0.0068	
nsga05k2x	I1	241146	54	0.0308	0.6501	0.5231	0.0060	
nsga05k2x	I1	242152	63	0.0154	0.6919	0.5291	0.0054	
nsga05k2x	I1	240689	76	0.0154	0.7372	0.5129	0.0058	
nsga05k2x	I1	241247	65	0.0077	0.6552	0.5085	0.0073	
nsga05k2x	I1	241720	66	0.0154	0.6201	0.4931	0.0076	
nsga05k2x	I1	241188	67	0.0615	0.6578	0.5257	0.0058	
nsga05k2x	I1	240850	64	0.0154	0.6259	0.5136	0.0057	
nsga05k2x	I1	241567	68	0.0000	0.5999	0.5005	0.0062	
nsga05k2x	I1	240089	54	0.0538	0.6765	0.5181	0.0060	
